,hash,version,time
0,7111951b8d49,Linux 5.6,2020-04-12 12:35:55 -0700
1,d5226fa6dbae,Linux 5.5,2020-04-12 12:35:55 -0700
2,219d54332a09,Linux 5.4,2020-04-12 12:35:55 -0700
3,4d856f72c10e,Linux 5.3,2020-04-12 12:35:55 -0700
4,0ecfebd2b524,Linux 5.2,2020-04-12 12:35:55 -0700
5,e93c9c99a629,Linux 5.1,2020-04-12 12:35:55 -0700
6,1c163f4c7b3f,Linux 5.0,2020-04-12 12:35:55 -0700
7,8fe28cb58bcb,Linux 4.20,2020-04-12 12:35:55 -0700
8,84df9525b0c2,Linux 4.19,2020-04-12 12:35:55 -0700
9,94710cac0ef4,Linux 4.18,2020-04-12 12:35:55 -0700
10,29dcea88779c,Linux 4.17,2020-04-12 12:35:55 -0700
11,0adb32858b0b,Linux 4.16,2020-04-12 12:35:55 -0700
12,d8a5b80568a9,Linux 4.15,2020-04-12 12:35:55 -0700
13,bebc6082da0a,Linux 4.14,2020-04-12 12:35:55 -0700
14,569dbb88e80d,Linux 4.13,2020-04-12 12:35:55 -0700
15,6f7da290413b,Linux 4.12,2020-04-12 12:35:55 -0700
16,a351e9b9fc24,Linux 4.11,2020-04-12 12:35:55 -0700
17,c470abd4fde4,Linux 4.10,2020-04-12 12:35:55 -0700
18,69973b830859,Linux 4.9,2020-04-12 12:35:55 -0700
19,c8d2bc9bc39e,Linux 4.8,2020-04-12 12:35:55 -0700
20,523d939ef98f,Linux 4.7,2020-04-12 12:35:55 -0700
21,2dcd0af568b0,Linux 4.6,2020-04-12 12:35:55 -0700
22,b562e44f507e,Linux 4.5,2020-04-12 12:35:55 -0700
23,afd2ff9b7e1b,Linux 4.4,2020-04-12 12:35:55 -0700
24,6a13feb9c828,Linux 4.3,2020-04-12 12:35:55 -0700
25,64291f7db5bd,Linux 4.2,2020-04-12 12:35:55 -0700
26,b953c0d234bc,Linux 4.1,2020-04-12 12:35:55 -0700
